subject_name_en,subject_name
Advanced Topics in Software Engineering,หัวข้อความก้าวล้ำในงานวิศวกรรมซอฟต์แวร์
Software Project Management,การบริหารจัดการโครงการซอฟต์แวร์
Community and Development,ชุมชนกับการพัฒนา
Quality Graduates,บัณฑิตคุณภาพ
Society and Environment,สังคมกับสิ่งแวดล้อม
Futsal,ฟุตซอล
World Today,เหตุการณ์ปัจจุบันของโลก
Thai Politics and Government,การเมืองกับการปกครองของไทย
Industrial Automation Control Systems,ระบบควบคุมอัตโนมัติในงานอุตสาหกรรม
Microcontroller System Design and Interface,การออกแบบและการอินเตอร์เฟสไมโครคอนโทรลเลอร์
Visual Effect,การสร้างภาพด้วยเทคนิคพิเศษ
English Public Speaking for Tourism,การพูดภาษาอังกฤษในที่ชุมชนสำหรับการท่องเที่ยว
Digital Systems Design Laboratory,ปฏิบัติการออกแบบระบบดิจิทัล
Digital Systems Design,การออกแบบระบบดิจิทัล
Report Writing and Library Usage,การเขียนรายงานและการใช้ห้องสมุด
Project Management in Computer Engineering,การบริหารโครงการทางวิศวกรรมคอมพิวเตอร์
Probability and Statistics for Engineering,ความน่าจะเป็นและสถิติในงานวิศวกรรม
Electronics for Agricultural Control,อิเล็กทรอนิกส์เพื่อควบคุมทางการเกษตร
Selected Topics in Electronics Engineering,หัวข้อเลือกในสาขาวิศวกรรมอิเล็กทรอนิกส์
Direct Current Power Conversion Circuits,วงจรแปลงผันกำลังไฟฟ้ากระแสตรง
Principle of Statistics,หลักสถิติเบื้องต้น
Fundamental of Electrical Engineering,วิเคราะห์วงจรไฟฟ้า
Graphical Program for Control System,โปรแกรมกราฟิกสำหรับระบบควบคุม
Digital Image Processing,การประมวลผลภาพแบบดิจิทัล
Data Communication and Networks,การสื่อสารข้อมูลและเครือข่าย
Introduction to Digital Systems,ระบบดิจิทัลเบื้องต้น
